The lorry is very big.	トラックはとても大きいです。	The (その) / lorry (トラック) / is (です) / very (とても) / big (大きい)
I envisage a bright future.	私は明るい未来を想像しています。	I (私) / envisage (予見する) / a (明るい) / bright (明るい) / future (未来)
They watched the football derby.	彼らはサッカーのダービーを観ました。	They (彼らは) / watched (見た) / the (その) / football (サッカー) / derby (ダービー)
The file is one megabyte.	ファイルは1メガバイトです。	The (ザ) / file (ファイル) / is (は) / one (1) / megabyte (メガバイト)
Can you spare a quid?	1ポンドくれませんか？	Can (できる) / you (あなた) / spare (割く) / a (1つの) / quid (ポンド)
The loch is very deep.	湖はとても深いです。	The (その) / loch (湖) / is (は) / very (とても) / deep (深い)
He expanded his tool arsenal.	彼は彼の道具の武器庫を拡大しました。	He (彼) / expanded (拡張した) / his (彼の) / tool (工具) / arsenal (アーセナル)
The butler served dinner elegantly.	執事は優雅に夕食を出した。	The (その) / butler (執事) / served (提供した) / dinner (夕食) / elegantly (優雅に)
The tyre is flat.	タイヤがパンクしています。	The (その) / tyre (タイヤ) / is (は) / flat (パンクしている)
The building has three storeys.	その建物は三階建てです。	The (その) / building (建物) / has (ある) / three (三) / storeys (階)
The victor received a trophy.	勝者はトロフィーを受け取りました。	The (その) / victor (勝者) / received (受け取った) / a (一つの) / trophy (トロフィー)
Helicobacter pylori causes stomach ulcers.	ヘリコバクター・ピロリは胃潰瘍を引き起こします。	Helicobacter (ヘリコバクター) / pylori (ピロリ) / causes (引き起こす) / stomach (胃) / ulcers (潰瘍)
He paid one shilling each.	彼はそれぞれ1シリングを支払った。	He (彼) / paid (支払った) / one (一) / shilling (シリング) / each (各)
Lexical choices influence meaning.	語彙の選択は意味に影響を与える。	Lexical (語彙の) / choices (選択) / influence (影響を与える) / meaning (意味)
Heather covered the hillside beautifully.	ヒースが丘を美しく覆った。	Heather (ヒース) / covered (覆った) / the (その) / hillside (丘の斜面) / beautifully (美しく)
Ordination requires careful spiritual preparation.	叙階には慎重な霊的準備が必要です。	Ordination (叙階) / requires (必要とする) / careful (丁寧な) / spiritual (精神的) / preparation (準備) / .
Syntactic errors cause confusion.	構文エラーは混乱を引き起こします。	Syntactic (構文上の) / errors (誤り) / cause (引き起こす) / confusion (混乱)
I saw a blue jay.	カケスを見ました。	I (私) / saw (見た) / a (一羽の) / blue (青い) / jay (カケス)
The vicar led the service.	牧師が礼拝を導いた。	The (その) / vicar (牧師) / led (導いた) / the (その) / service (礼拝)
Her eyes are hazel.	彼女の目はヘーゼル色です。	Her (彼女の) / eyes (目) / are (です) / hazel (ヘーゼル)
The iris flowers bloom beautifully.	アヤメの花が美しく咲きます。	The (その) / iris (アイリス) / flowers (花) / bloom (咲く) / beautifully (美しく)
Turn up the amp volume.	アンプの音量を上げてください。	Turn (ターン) / up (アップ) / the (ザ) / amp (アンプ) / volume (ボリューム)
