Chinese phrase	English translation
你好	Hello
您好	Hello (polite/formal)
早上好	Good morning
下午好	Good afternoon
晚上好	Good evening
再见	Goodbye
谢谢	Thank you
不客气	You're welcome
对不起	Sorry / Excuse me
没关系	It's okay / No problem
请慢一点说	Please speak slowly
请再说一遍	Please say it again
我不明白	I don't understand
欢迎光临	Welcome
请问，洗手间在哪儿？	Excuse me, where's the restroom?
地铁站怎么走？	How do I get to the metro station?
附近有超市吗？	Is there a supermarket nearby?
博物馆远不远？	Is the museum far from here?
我迷路了，你能帮我吗？	I’m lost, could you help me?
一直往前走，然后左转。	Go straight ahead, then turn left.
走路需要多久？	How long will it take to walk there?
差不多十分钟。	About ten minutes.
地铁站在哪个方向？	Which way is the metro station?
下一班火车几点开？	When does the next train leave?
我要去北京，在哪儿买票？	I'd like a ticket to Beijing, where can I buy it?
单程还是往返？	One-way or round trip?
下一站是什么站？	What’s the next stop?
到机场的巴士在哪里？	Where is the bus to the airport?
我坐哪条线去市中心？	Which line do I take to the city center?
这个地铁站有几号出口？	Which exit number should I take at this station?
我要去机场。	I’m going to the airport.
请开慢一点。	Please drive slowly.
请在这里停一下。	Please stop here.
多少钱？	How much is it?
请给我发票。	Please give me a receipt.
用微信支付可以吗？	Can I pay by WeChat?
请开空调。	Please turn on the air conditioning.
请帮我拿一下行李。	Please help me with the luggage.
我预订了一个房间。	I have a reservation.
还有空房吗？	Do you have any rooms available?
我要办理入住手续。	I’d like to check in.
房间里有无线网络吗？	Is there Wi-Fi in the room?
早餐几点开始？	What time does breakfast start?
请给我多一条毛巾。	Could you give me an extra towel?
退房时间是几点？	What time is check-out?
请叫醒我，七点钟。	Please give me a wake-up call at 7:00 AM.
请给我菜单。	Please give me the menu.
你们有什么推荐的菜？	Do you have any recommended dishes?
这个菜辣吗？	Is this dish spicy?
我对花生过敏。	I’m allergic to peanuts.
请不要放味精。	Please don’t put MSG.
买单！	Check, please!
一共多少钱？	How much is the total?
可以刷卡吗？	Can I pay by credit card?
这个多少钱？	How much is this?
太贵了，可以便宜一点吗？	It’s too expensive; can you make it cheaper?
最低多少钱？	What's your lowest price?
有没有大一点的尺寸？	Do you have a bigger size?
可以试穿吗？	Can I try it on?
我要买这个。	I’d like to buy this.
能不能刷卡？	Can I pay by card?
给我一个袋子好吗？	Could you give me a bag?
请帮我叫救护车！	Please call an ambulance!
我的钱包被偷了。	My wallet was stolen.
我生病了，哪里有医院？	I’m sick; where's the hospital?
请打电话给警察。	Please call the police.
我需要帮助。	I need help.
我的护照丢了。	I lost my passport.
这里附近有药店吗？	Is there a pharmacy nearby?
紧急出口在哪？	Where is the emergency exit?
门票多少钱？	How much is the entrance ticket?
这里几点关门？	What time does this place close?
我可以买学生票吗？	Can I buy a student ticket?
这里允许拍照吗？	Is photography allowed here?
有没有英语导游？	Is there an English-speaking guide?
哪里可以买纪念品？	Where can I buy souvenirs?
请问排队多久？	How long is the queue?
厕所在哪？	Where is the restroom?
哪里能换钱？	Where can I exchange money?
今天的汇率是多少？	What’s today’s exchange rate?
手续费是多少？	How much is the commission fee?
我想换人民币。	I’d like to exchange for Chinese Yuan.
这里附近有ATM吗？	Is there an ATM nearby?
ATM能取外币吗？	Can this ATM dispense foreign currency?
你们接受信用卡吗？	Do you accept credit cards?
零钱够不够？	Is there enough change?
你会说英语吗？	Can you speak English?
请写下来好吗？	Could you write it down, please?
这个中文怎么读？	How do you pronounce this in Chinese?
可以帮我翻译一下吗？	Could you help translate this for me?
什么意思？	What does it mean?
你能再解释一下吗？	Could you explain again?
对不起，我没听清楚。	Sorry, I didn’t hear clearly.
我中文说得不好。	My Chinese is not very good.
